NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
A.Vasquez Cobo,Leticia,Amazonas,4.261503851096589,4.102002065787383,4.220355951056729,4.729920729290528,4.7321428571428585,4.907321839080459,6.050056551174831,6.383548387096775,5.855950191570883,5.512888394512422,5.162846743295019,4.537374860956619,5.037992701838425
Alejandria,Alejandria,Antioquia,4.696358826358827,4.478658661740559,3.7614318053197517,3.8160018602759074,4.648443689869835,4.7560128770201375,6.049980845413782,6.4677482605945595,5.24986498814085,4.41524188669672,4.228070175438596,4.281354282536151,4.7374306799504735
A.Olaya Herrera,Medellin,Antioquia,5.531633714880332,5.366470681709834,4.760464793617759,4.13069683908046,4.54948843271424,5.53107843137255,6.40056925996205,6.02605858361142,4.926,4.298835125448028,4.5023551949515435,4.944522273425499,5.080681110897809
Apto Arauca,Arauca,Arauca,8.753173777315297,8.10158118979031,6.484569892473116,5.351473302757487,4.921856468873463,4.588095238095238,4.709084287200833,5.2847071625477575,5.903543096091482,6.4588886919532085,7.006769820218096,8.02836281651058,6.299342145318906
Saravena,Saravena,Arauca,5.1528345614957125,4.1870131520465215,2.906435879158166,2.7473916163385326,3.2405800090713877,3.208380996168583,3.804068338811556,4.150632123120743,4.76786007041093,5.031809897452278,4.971936916616177,4.94969976738576,4.093220277339696
Flores Las,Barranquilla,Atlantico,7.908402917349935,7.759763591852302,7.097892702804841,6.533910879251269,5.72034066126568,6.317818202243416,6.795927777673916,6.775265126827732,5.901649543578115,5.511471146939392,6.2849674592528295,6.996636829666633,6.633670569892171
A.E Cortissoz,Soledad,Atlantico,9.152016129032257,8.778778007309711,7.866989247311827,6.9807971820541335,6.101656508597194,6.668227660363366,7.0081044071957335,6.717669788414845,5.685810344827587,5.449121245828698,6.189321839080459,7.9492918057100495,7.0456486804771545
Esc Col Ingenieria,Bogota DC,Bogota DC,5.67063101301641,4.798357963875206,3.9019019074692043,3.002568058076225,3.107452636968766,3.2815950556467803,3.664699295513534,3.5017446842913738,3.2897029739098707,3.392303338992644,3.863103448275862,4.911397849462366,3.865454852124854
Univ Nacional,Bogota DC,Bogota DC,5.9522199027575375,5.094456575911316,4.0089531765046225,3.3461232143583675,3.1677941617878145,4.134578706566003,4.421345636889992,4.646510745750018,4.086708334674866,3.836340177547935,3.999752474575586,5.199092815465609,4.324489660232472
Esc Naval Cioh,Cartagena,Bolivar,9.168233416046318,8.645482528996288,7.5927293870077515,6.963826929392445,6.264648496212724,6.820945697023284,6.764471990759838,6.752326170977965,5.820123749175473,5.728432640617736,6.508424606378131,7.983974220327113,7.084468319409589
Galerazamba,Santa Catalina,Bolivar,7.555720440774877,6.901514443840028,6.064639359751151,5.958383166866939,5.846726051818164,5.880742087955703,6.234237266167982,6.426629541967638,5.716650101259902,5.418651873557964,6.17809575663779,6.89028204287833,6.256022677789705
U P T C,Tunja,Boyaca,7.389077735884187,6.794158608526426,5.613645005454263,4.696012553631019,4.382567204301075,4.362884339080459,4.689406682027649,4.946125751603164,5.061993749668944,5.030454002389487,5.436256422480004,6.625945195976414,5.419043937585259
Villa de Leiva,Villa de Leyva,Boyaca,6.307415564251283,5.817651704238449,4.920343586930002,4.036048141747179,4.346763582261542,4.699328223454411,5.136523860243031,5.149261019679606,4.671251511536569,4.2999121857126115,4.49231265864829,5.433211329360569,4.942501947338628
Apto La Nubia,Manizales,Caldas,5.396617990772812,4.926725323483054,4.030847227088288,3.4256170198848763,3.5111595326438354,3.976458209278406,4.821882846019387,4.469096517824037,3.7609268535320695,3.37098678581555,3.9238965517241384,4.642446980945871,4.188055153251026
San Felix,Salamina,Caldas,4.976980959235752,4.6660001824484585,3.862162505712193,3.098153102754414,3.7309109850722746,4.975634453781512,5.831553643966548,5.484961696010084,4.4868883258151975,3.3473925903195987,3.072445501387237,4.111698969910544,4.303731909701151
Macagual,Florencia,Caqueta,5.490123550243684,4.375293083625397,3.332639819515078,3.344877362903472,3.5028838554970982,3.25275392915787,3.516138383889536,4.293591870495096,4.842660713005541,4.774225231150426,4.911110762800418,5.510466568164943,4.26223042753738
S.Vcte Caguan,San Vicente del Caguan,Caqueta,6.863467576264335,5.333146824371191,4.05634169751615,3.4270682888572876,4.03925768103215,3.5841647423212404,3.4534299348984545,4.2856357873688475,5.110928066824619,5.33659519315208,5.886474405756015,6.572637002300736,4.8290956000552585
Aguazul,Aguazul,Casanare,7.396696007366754,6.4892609687909975,4.753550081834287,4.224355145058945,4.519056150958748,3.891220152078473,4.416863938011245,4.939652470946018,5.777237798524668,5.681871916041622,5.991836249035806,6.85030202470909,5.410991908613055
Apto Yopal,Yopal,Casanare,8.149652196999869,6.9014323497561065,5.045676617289521,4.237237964249458,4.5184370952595305,4.143249955791336,4.36205834010831,4.737908525276831,5.462260953674132,5.696122181308309,6.258125046216541,7.722692364775113,5.602904465892088
Apto G L Valencia,Popayan,Cauca,5.037996706287817,4.568153861340735,3.9156738351254483,3.5557794428547322,3.776561993994141,4.804907517547699,5.639649214784995,5.445063327068389,4.509557744937055,3.6856850821900884,3.8864333386302237,4.442438677019067,4.4389917284817
Gabriel Lopez,Totoro,Cauca,2.427882707575937,1.9885358536282178,1.8818128377993972,1.5266471391528864,1.457356441171331,1.1383301404853128,1.3473058578425658,1.6970871024634462,1.828687859759288,1.5479760826322977,1.546686073629852,1.7188252741722112,1.6755944475260618
Aguas Claras,Aguachica,Cesar,8.140379581074798,7.460214777095652,5.855026341956879,4.920711141681907,5.033145803029006,5.807558874714047,6.5634255945759845,6.2370867661259775,5.718832049277146,5.310356029529185,5.7243624302266864,6.9220486527901715,6.14109567017312
Villa Rosa,Valledupar,Cesar,9.011258997528927,8.585101896862746,7.736263763038867,6.4599517169315,5.977294104497895,6.091284779237365,6.67856854001465,6.640227790823823,6.0857273937091385,5.902770672978073,6.791993490017439,8.068085277253529,7.002377368574496
Panamericana,Bahia Solano,Choco,2.5317825435442507,3.1166316404653114,2.785941912917135,2.2922491297208536,1.987024408044719,1.918345673586015,2.4563085417377843,2.2685735190457192,1.7470337113625292,1.89920908961162,1.642587084052601,1.6159762818195587,2.188471961325675
Apto El Carano,Quibdo,Choco,2.8030176899063486,2.914802161131416,2.7591465053763433,3.1759139784946244,3.622782258064516,3.8208750463477936,4.256295525494276,4.272043010752687,3.883370411568409,3.78793682795699,3.6222988505747122,3.054264784946236,3.4977289208845295
Univ de Cordoba,Monteria,Cordoba,7.634600914596465,7.198937070916804,6.1990633037296,5.27686286893183,4.75022033530086,5.34284256723313,6.291539338797403,5.967978965864279,5.029904875148634,5.328672443930584,6.0032380952380935,6.225838207491433,5.9374749155982585
Planeta Rica,Planeta Rica,Cordoba,6.343885632206544,6.124850391443987,4.9609175381259165,4.268191941595339,4.244428310840465,4.933359180123015,5.515494952409231,5.573288826552969,4.644932731288404,4.810111893937099,5.141676909230569,5.739318306930271,5.191704717890318
Ita Valsalice,Fusagasuga,Cundinamarca,5.916944374665372,5.225436647842899,4.247021774997464,3.7952846426560405,3.723796444601691,4.09786664684294,4.278854421444012,4.451491922056438,4.464791208791208,4.6932165753513715,4.670610135300805,5.104023765213281,4.555778213313627
Tibaitata,Mosquera,Cundinamarca,6.1556980322773835,5.436014810695012,4.453633203132342,3.696528158859639,3.5931685923427463,3.805611420096403,4.358967125293868,4.67100362225835,4.425525035203196,4.262337193272677,4.430454772613692,5.443565373365149,4.561042278284204
Pto Inirida,Inirida,Guainia,6.935379044216621,6.343090812919911,5.517167267141461,4.513871252204585,3.8690092822350897,4.085041024040712,4.539367565662466,5.212178785619905,5.808257985062768,5.677708616569852,5.595377465588195,5.881366731834476,5.331484652758003
San Jose Guaviare,San Jose del Guaviare,Guaviare,6.115123559932727,5.519536740323911,4.4632140022051034,4.03458283274835,3.3414797506422262,3.164314166293477,3.6624836628606516,4.296592331935769,5.167500093184513,4.970263662922172,4.982049808429118,5.27635434599924,4.582791246456438
Trueno El,San Jose del Guaviare,Guaviare,5.889095718889937,5.191942765629469,3.9665720339788746,3.3715735126942024,3.298347547891486,3.026210223365396,3.38357142857143,3.931354103743797,4.775206473177739,4.741665997990803,4.618478150544036,4.993669598065593,4.2656406295452305
Esc Agr La Plata,La Plata,Huila,4.948756498723128,4.467002473899027,3.7446572084506298,3.7345748161784442,3.9543787802879153,3.934542504906125,3.8903652202814007,4.139888666822878,4.238010572929437,4.2919716869675755,4.263024090971289,4.796102395935543,4.200272909696116
Apto Benito Salas,Neiva,Huila,6.576148582600194,5.714528171182266,4.873434535104364,5.017979797979798,5.272297165200391,5.496868686868686,5.521309872922776,5.57014011078527,5.392525252525253,5.514012096774194,5.519270833333334,6.0380254154447695,5.542211710060108
Matitas,Riohacha,La Guajira,7.57502632816214,6.9356813993290585,5.8223292338737584,4.906737237764113,5.3336735338189625,6.890809324774841,7.544185719158163,7.162429740127515,6.0500940821630484,5.904217362665064,6.543326308892951,7.084709707766514,6.479434998208011
