NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
A.Vasquez Cobo,Leticia,Amazonas,4.261503851096589,4.102002065787383,4.220355951056729,4.729920729290528,4.7321428571428585,4.907321839080459,6.050056551174831,6.383548387096775,5.855950191570883,5.512888394512422,5.162846743295019,4.537374860956619,5.037992701838425
Alejandria,Alejandria,Antioquia,4.696358826358827,4.478658661740559,3.7614318053197517,3.8160018602759074,4.648443689869835,4.7560128770201375,6.049980845413782,6.4677482605945595,5.24986498814085,4.41524188669672,4.228070175438596,4.281354282536151,4.7374306799504735
Ita Andes,Andes,Antioquia,5.289407602575998,5.415323617387023,4.3491155745310435,3.8702350107335364,4.0527410234788945,4.586251105216622,5.516544061302683,5.0725328176712114,4.191695549661067,3.9560749491772462,4.36128837330306,4.665616684126786,4.6105688640970985
Anori,Anori,Antioquia,4.523764461448,3.897790993158826,3.167725111603521,2.9324746937200312,3.741561952616572,5.082812568160961,5.921627261825424,5.393004641892038,4.018883064132422,3.335518257891876,3.467726177611235,3.738377140581441,4.101772193720195
Uniban,Apartado,Antioquia,5.242911835093078,4.949164072477651,4.023018284204673,3.6417634315317504,3.920096024607113,3.1905051085568323,4.181935090246546,4.333635176809073,3.9655891150144025,4.388907934913173,4.550075051759835,4.491610022230342,4.239934262287039
Arboletes,Arboletes,Antioquia,7.1007634774339845,6.895441809857519,6.094186086002811,5.049352064057947,4.651355566335193,5.104314563402585,5.173307612678271,5.2212672281370835,4.752971131865656,4.838341563377297,5.906304766277148,6.295193438665788,5.590233275674272
Tulio Ospina,Bello,Antioquia,6.003352837688701,5.331594097775586,5.152587333504464,4.3669548440065675,4.8198951818476425,5.839855546433132,6.7039474659953555,6.179241689507345,5.25535231333913,4.28474833627733,4.648858516586711,5.2956908547623724,5.323506584810361
Piunti Hda,Buritica,Antioquia,4.230392371995821,4.06619896587968,3.6473768167316547,2.876263763102121,2.9804891222129126,2.836732372118035,3.941349686293854,4.193166584467425,3.409551681783825,2.7720722959938753,2.8550693618707896,3.147830923248053,3.4130411621415035
Salada La,Caldas,Antioquia,4.5174383517122365,4.633318805030172,3.899559596924724,2.9911611487703444,3.374641008527994,4.0178823815605424,5.210995176777733,4.970906677286604,3.9974140211640226,3.53841807714617,3.582824196875921,3.764785684745362,4.041612093876819
Canasgordas,Canasgordas,Antioquia,5.405551573078456,5.231434601981517,4.666564646670747,3.6410890082508116,3.673691308691308,4.319817323481117,4.837615184604417,4.492453556753032,3.962476179492671,3.6415189905933247,4.0620666452488035,4.471236753133666,4.367126314331656
Apto Los Cedros,Carepa,Antioquia,5.751098310291859,5.421307699324942,4.58904818797292,4.214367816091953,3.8752304147465444,3.789003831417625,4.2368855606758835,4.40291474654378,4.349367816091955,4.725906562847608,4.748446360153255,4.7113082437276,4.5679071291571605
Tulenapa,Carepa,Antioquia,5.893794306692588,5.397485335781436,4.4116057916595555,4.014984612394659,4.207116783764169,4.209680270023719,4.774023024723802,4.752104501949665,4.529686562904954,4.939556271071305,5.004723439166772,5.2260882666248625,4.7800707638964575
Cacaoteras del Diq,Caucasia,Antioquia,6.696407771203379,5.993124460857595,5.624399040244145,5.097521892460363,5.004875205990195,5.644508618706522,6.499719755741725,6.2269735961512325,5.436347748879278,5.228000941925352,5.509330970859966,5.74825472883315,5.725788727654408
Caseri,Caucasia,Antioquia,6.09180553755971,5.499127043979986,3.9938179168696104,3.790675538730398,4.645601318120905,4.993882959442455,5.982181079302603,5.837381766453249,4.73637307468424,4.739656520832171,4.734290679748397,5.098227535847396,5.011918414297593
Palmera La,Chigorodo,Antioquia,3.4301772523876317,3.797512315270936,2.0899308755760373,2.6866666666666665,2.4475853289006633,2.5200255147151696,2.55760752688172,3.101154535428728,2.7402873563218395,3.3860139185990135,2.9700689655172416,2.7819870967741935,2.875751446086653
Mansa La,Ciudad Bolivar,Antioquia,4.83746880758626,5.063920602386118,4.7777438905180825,4.2268354643132175,4.710526510938079,4.88180240831965,6.189495000943217,6.180634093505061,5.013042784163473,4.196454437911613,4.16639556084027,4.360118650352243,4.883703184314774
Concordia,Concordia,Antioquia,5.066381892077457,5.221239051421728,4.538703799058438,3.731728950740086,4.104214668149797,5.385635753551795,6.145086480769879,5.50878287841191,4.786004826882018,3.672590261644514,3.574123003433348,4.099363908186574,4.652821289527297
Tunez Hda,Fredonia,Antioquia,6.532411863988926,6.449362532202619,5.704739216413301,5.036182514803204,5.155213397602275,5.903853995621237,6.593261185267583,6.43729486687148,5.618719154408808,5.032368545433063,5.487110000226712,5.870977285741555,5.818457879881731
Musinga,Frontino,Antioquia,5.1120137689042755,5.226541987983142,4.145223111728152,3.3039248763423896,3.3269506353861202,4.0009514659031895,4.472205080018264,4.297064898441126,3.6309167429776803,3.659215524352945,4.0612131848037025,4.688874581359557,4.160424654850045
Jardin El,Jardin,Antioquia,4.13513944064834,4.572583203013005,2.981769227713332,2.655033587102553,2.9637480798771123,3.6023316912972088,4.056209677419355,4.399293394777266,3.652063492063492,3.5091380116393416,2.5669540229885057,3.2192114695340504,3.5261229415061304
Miguel Valencia,Jardin,Antioquia,4.783927035330261,4.969447865353038,4.805505190952912,4.202574712643678,4.3991304347826095,5.649575533661741,5.95662958843159,5.451303568645785,4.498784838350056,3.796665228179955,4.338547436365851,4.961181600955794,4.817772752804439
Mesopotamia,La Union,Antioquia,5.538228398890424,5.079391285228367,4.400691826133636,3.937445908988266,4.679611647621936,5.7468937613359525,6.952871047195297,6.683453405017922,5.4796934865900395,3.982242583525345,4.065487514863258,4.84809105796564,5.116175160279673
A.Olaya Herrera,Medellin,Antioquia,5.531633714880332,5.366470681709834,4.760464793617759,4.13069683908046,4.54948843271424,5.53107843137255,6.40056925996205,6.02605858361142,4.926,4.298835125448028,4.5023551949515435,4.944522273425499,5.080681110897809
Villarteaga,Mutata,Antioquia,3.928853125583703,3.7318708946372787,3.067149389114308,2.701881852183577,2.7206354396975154,2.501711366538953,2.6902622735606023,2.551179248090013,2.563585803589433,2.9796753089257253,2.9400495739784422,3.0745063595385567,2.9542800529531754
Mellito El,Necocli,Antioquia,5.984575127834304,5.629821830328036,4.844899122286559,4.060928528663522,3.819536669579839,3.7228215458105116,4.392261019400201,4.358005094016348,4.331096374388245,4.640916408826804,5.082851676160744,5.268962590452023,4.678056332312262
Apto Pto Berrio,Puerto Berrio,Antioquia,6.9790809192494185,6.208422622328491,4.674307687554074,5.328034269095505,5.969819213045019,6.607513835674756,7.291994424532057,7.18752688172043,6.168755449861276,5.708297564612695,6.063837577404759,6.4743439858411795,6.221827869243303
Apto Otu,Remedios,Antioquia,5.649198369915835,5.109059299098737,3.8923252905525803,3.773036787015075,4.377532253810381,5.168819091557817,6.341705042794849,5.811538011772888,4.8118369297346915,4.269956202502796,4.554466640786269,5.1606574618476735,4.910010948449133
A.J M Cordova,Rionegro,Antioquia,5.276120543293718,5.0994184455391345,4.4443667861409795,4.228148148148148,4.9725806451612895,6.001296296296297,6.987174432497013,7.001660692951015,5.788015728977615,4.653944103434765,4.393684210526315,4.523429541595925,5.280819964546851
Selva La,Rionegro,Antioquia,5.083560861274431,4.90354562648196,4.24667413528259,3.7849904214559387,4.46643659996418,5.561335806751002,6.606681257037601,6.330257454844969,5.114421026611764,3.8808463406174134,3.9794864664441976,4.5810194749015665,4.878271289305634
San Carlos,San Carlos,Antioquia,4.312535891731554,4.164307243203796,3.5364927803379413,3.5109811540283795,4.52216041629034,5.289337975243147,6.371488354063437,6.185104310265601,5.04417803460907,4.064787435775199,3.5715615763546795,3.8824485407066054,4.537948642717479
Violetas Las,San Rafael,Antioquia,4.890787489493163,5.010874314382935,4.353554702062625,4.507440993361682,4.89667826889462,5.546329320317825,6.400817359284173,6.202447425732125,5.615631422183948,4.753915984652808,4.387139902314292,4.161941236269771,5.0606298682458295
Nus Gja Exp El,San Roque,Antioquia,5.868966759396567,5.573621889187665,4.19081281419644,4.59016671919787,5.290287853151789,6.178889309923794,6.881741660830278,6.700077267827546,5.82443665997689,5.218416891784522,4.865305265445496,5.247041459639779,5.5358137125465525
Corrientes,San Vicente,Antioquia,5.726180341526152,5.755035040836257,4.710936367163965,4.264391363346104,5.332474987644268,5.576765973888819,6.84699863457928,6.57885200507435,5.896056644880173,4.464617649487387,4.385068196556483,5.491325280110533,5.419058540424481
Aragon,Santa Rosa de Osos,Antioquia,5.109457133440449,4.916965828229317,4.010284426701605,3.3699690060170413,3.8067923925934677,5.137711118930331,6.001423731107747,5.679901690290218,4.363126103188111,3.6040337177069985,3.751644772851669,4.406809280767847,4.513176600152066
Cotove Hda,Santafe de Antioquia,Antioquia,7.108505394901707,6.904832202699621,5.93263429432428,5.394534432301343,5.449286445391257,6.191477755960515,6.910068458585181,6.590209259553531,5.651365751149659,5.387966853819183,5.82952174962186,6.228386424959434,6.131565751938965
